# a    	x [pc]         	y [pc]         	z [pc]         
0.08175051367372903	nan            	nan            	nan            
0.09080165078165517	303203.0811265983	94260.62250070536	65330.296338940905
0.100163369059473	334743.3482693394	105208.45356555283	71190.55937646286
0.11011416299826175	375893.996144076	43955.74728289457	130872.28498240815
0.12026219904658333	412350.36442223506	47609.32205509719	142547.8787050818
0.13016410713834536	437947.7715802918	144247.54837884463	87135.90764502464
0.14003383976444436	471989.312064112	154002.8672171148	93282.79260548243
0.15008289023101992	506626.3548326261	163601.52929392792	101951.72898663652
0.16003959390284703	554447.2943747725	63084.00417676334	183569.87686018166
0.17003076189120464	581839.1873909027	160911.75672687212	130999.62125192894
0.18012270720423917	617731.7776591644	175646.47268529254	137432.61771787083
0.1900939320696184	652695.9948809049	188567.7127133463	143417.52238622465
0.2000132726298896	689492.6886370828	203681.35457782506	144804.96403076826
0.21002569805335813	728648.3407199731	215169.93505360957	156886.6691396442
0.22000025544580934	768030.6415262179	225944.15383164567	163102.3905430324
0.23008831036369348	806966.7613013278	238878.27705394023	170641.54336640268
0.24012341318056465	846832.4972413292	250170.5429498415	177417.17129559917
0.2501639322400715	887470.8182687503	261995.72590477954	188293.408623085
0.2601236703326317	927977.3828166013	270696.11129140283	193777.15245333532
0.27007776974216396	968578.2737218584	285306.6471782724	200972.88406143148
0.2800200410577667	1012412.8775490582	335734.68730362674	202676.52284614692
0.280106954263918	1012739.1335874139	335728.97977882344	202819.05936875063
0.2900022700750088	1051971.787578117	319128.0663931414	220155.79704600907
0.2902163588850865	1052612.0693511136	319585.8617370348	221338.17839748654
0.30003367785044116	1092674.6097988854	336848.1260745854	231609.7663048105
0.31021167641814845	1134661.7867477234	348841.04465097614	246045.3800251822
0.320010347148752	1178166.2464918736	358968.31884687295	256464.39147541113
0.33010952600873	1223979.011819888	370231.34522100486	267941.3631181208
0.34011270616726424	1268983.6206943928	380136.66078302433	278865.8767386027
0.35000574032088416	1315135.7060654652	388506.4934366282	291952.1496205512
0.3600668434834229	1361795.9227286063	397133.0754409155	305341.5751122126
0.370213169147056	1408692.5104752872	405313.39888858475	319010.6710746077
0.3801740905767275	1453828.8371367527	406995.39883928886	334918.0114186217
0.3901875126751794	1500502.4352523063	412699.68029171624	349028.47311618173
0.40005276637034176	1546453.3909934484	411955.49706798914	363185.17024090356
0.410011583506715	1588950.8333024278	407190.3784289054	375775.4910028974
0.42000294601216237	1634931.8692575786	416515.8802150578	383444.3517972416
0.43024296986022187	1685244.8504308742	434899.58506615716	393586.12316024693
0.4402570274870902	1735498.87479242	450699.7501892317	404482.8737974639
0.4502402315256887	1784502.952903684	459947.88647306216	417748.1534567322
0.4602929889154738	1834807.9502288485	470744.7947739323	430660.4122764442
0.4702191099819393	1883529.0936454844	481411.12639374315	443050.33244936203
0.4800450061744386	1933573.2314053003	492416.3109730634	456062.88603110804
0.4904772735061491	1987268.5057681021	506405.52626847685	470899.31374663126
0.5003879231397115	2039205.878182143	519393.58089382504	481330.87657568644
0.5104793218312765	2091100.0888783983	530783.7325356662	494620.49014578364
0.5200977291201272	2142229.3412032262	542956.8480733247	506893.75315354194
0.5303103134885433	2092224.6891609954	989460.962007476	1105495.7486436141
0.5401615877958525	2144054.8880782695	1011602.8131027891	1130029.693652236
0.5505238514560342	2198692.1312050633	1034229.6548956137	1152967.4740526155
0.5601104997867417	2248800.5337375915	1054432.5690216841	1176655.5629032354
0.5807290762953795	2359966.117680839	1099269.9835622243	1227068.959446996
0.5902149517505332	2411521.4595984416	1120576.0742976798	1250539.4543602488
0.600297449413971	nan            	nan            	nan            
0.610145101758498	nan            	nan            	nan            
0.6204700923261172	nan            	nan            	nan            
0.6304717958830698	nan            	nan            	nan            
0.6406059536027838	nan            	nan            	nan            
